Timestamp,Time_Elapsed_Sec,Raw_Velocity,EMA_0.2,EMA_0.3,EMA_0.35,EMA_0.4,EMA_0.45,EMA_0.5,EMA_0.55
18:56:05.286,0.11,-0.013,-0.0026,-0.0034,-0.0038,-0.0042,-0.0048,-0.0053,-0.006
18:56:05.461,0.279,-0.0007,-0.0023,-0.0026,-0.0027,-0.0028,-0.0029,-0.003,-0.0031
18:56:05.576,0.399,0,-0.0018,-0.0018,-0.0018,-0.0017,-0.0016,-0.0015,-0.0014
18:56:05.673,0.492,-0.0007,-0.0016,-0.0015,-0.0014,-0.0013,-0.0012,-0.0011,-0.001
18:56:05.858,0.679,0.0091,0.0006,0.0017,0.0023,0.0029,0.0034,0.004,0.0046
18:56:06.063,0.885,-0.0008,0.0003,0.001,0.0012,0.0014,0.0016,0.0016,0.0016
18:56:06.282,1.101,0.0004,0.0003,0.0008,0.0009,0.001,0.0011,0.001,0.001
18:56:06.488,1.304,0,0.0003,0.0006,0.0006,0.0006,0.0006,0.0005,0.0004
18:56:06.670,1.489,0,0.0002,0.0004,0.0004,0.0004,0.0003,0.0003,0.0002
18:56:06.788,1.609,-0.0281,-0.0055,-0.0081,-0.0096,-0.011,-0.0125,-0.0139,-0.0154
18:56:06.870,1.688,-0.0022,-0.0048,-0.0064,-0.007,-0.0075,-0.0079,-0.0081,-0.0081
18:56:07.016,1.834,0.0004,-0.0038,-0.0043,-0.0044,-0.0043,-0.0041,-0.0038,-0.0034
18:56:07.132,1.953,-0.0022,-0.0035,-0.0037,-0.0036,-0.0035,-0.0033,-0.003,-0.0028
18:56:07.236,2.06,0.011,-0.0006,0.0007,0.0015,0.0023,0.0032,0.004,0.0048
18:56:07.348,2.167,0.0031,0.0002,0.0014,0.0021,0.0026,0.0031,0.0036,0.0039
18:56:07.456,2.278,0.0033,0.0008,0.002,0.0025,0.0029,0.0032,0.0034,0.0035
18:56:07.538,2.357,-0.018,-0.003,-0.004,-0.0047,-0.0054,-0.0063,-0.0073,-0.0083
18:56:07.644,2.459,-0.05,-0.0124,-0.0178,-0.0205,-0.0233,-0.026,-0.0286,-0.0312
18:56:07.733,2.555,-0.018,-0.0135,-0.0178,-0.0196,-0.0211,-0.0224,-0.0233,-0.0239
18:56:07.852,2.673,0.0154,-0.0077,-0.0079,-0.0074,-0.0065,-0.0054,-0.0039,-0.0023
18:56:07.942,2.761,0.0035,-0.0055,-0.0045,-0.0036,-0.0025,-0.0014,-0.0002,0.0009
18:56:08.040,2.859,-0.0333,-0.011,-0.0131,-0.014,-0.0148,-0.0157,-0.0168,-0.0179
18:56:08.178,2.999,0.012,-0.0064,-0.0056,-0.0049,-0.0041,-0.0033,-0.0024,-0.0015
18:56:08.273,3.094,0.0006,-0.005,-0.0037,-0.003,-0.0022,-0.0015,-0.0009,-0.0003
18:56:08.399,3.219,0.0172,-0.0006,0.0025,0.0041,0.0055,0.0069,0.0081,0.0093
18:56:08.486,3.307,0.0671,0.013,0.0219,0.0261,0.0302,0.034,0.0376,0.0411
18:56:08.586,3.409,0.0574,0.0218,0.0326,0.0371,0.041,0.0445,0.0475,0.05
18:56:08.666,3.483,-0.0042,0.0166,0.0215,0.0226,0.023,0.0226,0.0217,0.0202
18:56:08.794,3.609,-0.0309,0.0071,0.0058,0.0039,0.0014,-0.0015,-0.0046,-0.0079
18:56:08.894,3.713,0.0068,0.0071,0.0061,0.0049,0.0036,0.0023,0.0011,0.0002
18:56:08.998,3.819,0.0492,0.0155,0.019,0.0204,0.0218,0.0234,0.0251,0.0271
18:56:09.102,3.924,0.3421,0.0808,0.1159,0.133,0.1499,0.1668,0.1836,0.2004
18:56:09.206,4.019,0.5573,0.1761,0.2483,0.2815,0.3129,0.3425,0.3704,0.3967
18:56:09.319,4.14,0.4035,0.2216,0.2949,0.3242,0.3491,0.37,0.387,0.4004
18:56:09.402,4.222,0.4623,0.2697,0.3451,0.3725,0.3944,0.4115,0.4246,0.4344
18:56:09.511,4.33,0.293,0.2744,0.3295,0.3447,0.3538,0.3582,0.3588,0.3567
18:56:09.598,4.419,0.4276,0.305,0.3589,0.3737,0.3833,0.3894,0.3932,0.3957
18:56:09.686,4.509,0.5071,0.3454,0.4034,0.4204,0.4328,0.4424,0.4502,0.457
18:56:09.796,4.617,0.4433,0.365,0.4154,0.4284,0.437,0.4428,0.4467,0.4495
18:56:09.888,4.709,0.5537,0.4028,0.4569,0.4723,0.4837,0.4927,0.5002,0.5068
18:56:09.996,4.819,0.2818,0.3786,0.4044,0.4056,0.403,0.3978,0.391,0.3831
18:56:10.099,4.923,0.175,0.3379,0.3356,0.3249,0.3118,0.2976,0.283,0.2687
18:56:10.210,5.031,0.0433,0.279,0.2479,0.2264,0.2044,0.1832,0.1632,0.1447
18:56:10.296,5.113,-0.0541,0.2124,0.1573,0.1282,0.101,0.0764,0.0546,0.0354
18:56:10.413,5.232,-0.1269,0.1445,0.072,0.0389,0.0098,-0.0151,-0.0362,-0.0539
18:56:10.512,5.332,-0.2594,0.0637,-0.0274,-0.0655,-0.0979,-0.1251,-0.1478,-0.1669
18:56:10.631,5.453,-0.4274,-0.0345,-0.1474,-0.1922,-0.2297,-0.2611,-0.2876,-0.3102
18:56:10.726,5.549,-0.8669,-0.201,-0.3633,-0.4283,-0.4846,-0.5337,-0.5773,-0.6164
18:56:10.804,5.623,-0.7538,-0.3116,-0.4804,-0.5423,-0.5923,-0.6328,-0.6655,-0.692
18:56:10.916,5.735,-0.2691,-0.3031,-0.417,-0.4466,-0.463,-0.4691,-0.4673,-0.4594
18:56:11.008,5.829,-0.4075,-0.324,-0.4142,-0.4329,-0.4408,-0.4414,-0.4374,-0.4309
18:56:11.133,5.955,-0.3255,-0.3243,-0.3876,-0.3954,-0.3947,-0.3893,-0.3815,-0.3729
18:56:11.233,6.049,-0.4634,-0.3521,-0.4103,-0.4192,-0.4222,-0.4226,-0.4224,-0.4227
18:56:11.326,6.149,-0.2668,-0.335,-0.3673,-0.3658,-0.36,-0.3525,-0.3446,-0.337
18:56:11.418,6.241,-0.3045,-0.3289,-0.3485,-0.3444,-0.3378,-0.3309,-0.3246,-0.3191
18:56:11.522,6.345,-0.0414,-0.2714,-0.2563,-0.2383,-0.2193,-0.2006,-0.183,-0.1664
18:56:11.626,6.449,0.0258,-0.212,-0.1717,-0.1459,-0.1213,-0.0988,-0.0786,-0.0607
18:56:11.720,6.541,0.0301,-0.1636,-0.1112,-0.0843,-0.0607,-0.0408,-0.0243,-0.0108
18:56:11.814,6.633,0.0342,-0.124,-0.0676,-0.0428,-0.0228,-0.007,0.005,0.014
18:56:11.926,6.749,-0.0028,-0.0998,-0.0481,-0.0288,-0.0148,-0.0051,0.0011,0.0047
18:56:12.016,6.837,0.0369,-0.0724,-0.0226,-0.0058,0.0059,0.0138,0.019,0.0225
18:56:12.136,6.959,-0.027,-0.0633,-0.0239,-0.0132,-0.0072,-0.0046,-0.004,-0.0047
18:56:12.226,7.049,0.0033,-0.05,-0.0158,-0.0075,-0.003,-0.001,-0.0004,-0.0003
18:56:12.329,7.152,0.0283,-0.0344,-0.0026,0.0051,0.0095,0.0122,0.014,0.0154
18:56:12.418,7.241,0.0707,-0.0134,0.0194,0.028,0.034,0.0385,0.0423,0.0458
18:56:12.550,7.369,0.1354,0.0164,0.0542,0.0656,0.0745,0.0821,0.0889,0.0951
18:56:12.639,7.463,0.7787,0.1689,0.2716,0.3152,0.3562,0.3956,0.4338,0.4711
18:56:12.760,7.579,0.4915,0.2334,0.3376,0.3769,0.4103,0.4388,0.4627,0.4823
18:56:12.846,7.659,0.854,0.3575,0.4925,0.5439,0.5878,0.6256,0.6583,0.6868
18:56:12.948,7.772,0.245,0.335,0.4183,0.4393,0.4507,0.4544,0.4517,0.4438
18:56:13.066,7.889,0.3582,0.3396,0.4002,0.4109,0.4137,0.4111,0.4049,0.3967
18:56:13.148,7.969,0.719,0.4155,0.4958,0.5187,0.5358,0.5496,0.5619,0.5739
18:56:13.266,8.089,0.3464,0.4017,0.451,0.4584,0.46,0.4582,0.4542,0.4488
18:56:13.354,8.175,0.2583,0.373,0.3932,0.3884,0.3793,0.3682,0.3562,0.344
18:56:13.451,8.274,0.1449,0.3274,0.3187,0.3032,0.2856,0.2677,0.2506,0.2345
18:56:13.546,8.369,0.0739,0.2767,0.2453,0.2229,0.2009,0.1805,0.1622,0.1462
18:56:13.632,8.455,-0.0377,0.2138,0.1604,0.1317,0.1055,0.0823,0.0623,0.0451
18:56:13.730,8.554,-0.0726,0.1565,0.0905,0.0602,0.0343,0.0126,-0.0051,-0.0196
18:56:13.813,8.635,-0.2913,0.067,-0.0241,-0.0628,-0.096,-0.1242,-0.1482,-0.1691
18:56:13.906,8.722,-0.0376,0.0461,-0.0281,-0.054,-0.0726,-0.0852,-0.0929,-0.0968
18:56:14.006,8.827,-0.7879,-0.1207,-0.256,-0.3108,-0.3587,-0.4014,-0.4404,-0.4769
18:56:14.106,8.929,-0.8457,-0.2657,-0.4329,-0.498,-0.5535,-0.6013,-0.643,-0.6797
18:56:14.216,9.039,-0.6366,-0.3399,-0.494,-0.5465,-0.5867,-0.6172,-0.6398,-0.656
18:56:14.296,9.109,-1.1198,-0.4959,-0.6817,-0.7472,-0.7999,-0.8433,-0.8798,-0.9111
18:56:14.399,9.22,-0.3431,-0.4653,-0.5802,-0.6057,-0.6172,-0.6182,-0.6114,-0.5987
18:56:14.500,9.319,-0.4811,-0.4685,-0.5504,-0.5621,-0.5628,-0.5565,-0.5463,-0.534
18:56:14.606,9.427,-0.2854,-0.4319,-0.4709,-0.4653,-0.4518,-0.4345,-0.4159,-0.3973
18:56:14.686,9.509,-0.032,-0.3519,-0.3392,-0.3136,-0.2839,-0.2534,-0.2239,-0.1964
18:56:14.789,9.61,0.0923,-0.2631,-0.2098,-0.1716,-0.1334,-0.0978,-0.0658,-0.0376
18:56:14.886,9.699,0.1093,-0.1886,-0.1141,-0.0733,-0.0363,-0.0046,0.0218,0.0432
18:56:14.971,9.791,-0.0022,-0.1513,-0.0805,-0.0484,-0.0227,-0.0035,0.0098,0.0182
18:56:15.089,9.911,0.0149,-0.1181,-0.0519,-0.0262,-0.0076,0.0048,0.0124,0.0164
18:56:15.183,10.006,0.0045,-0.0935,-0.035,-0.0155,-0.0028,0.0046,0.0084,0.0099
18:56:15.292,10.109,0.0014,-0.0746,-0.0241,-0.0096,-0.0011,0.0032,0.0049,0.0052
18:56:15.396,10.219,0.0261,-0.0544,-0.009,0.0029,0.0098,0.0135,0.0155,0.0167
18:56:15.476,10.299,0.1078,-0.022,0.026,0.0396,0.049,0.0559,0.0616,0.0668
18:56:15.595,10.419,0.4749,0.0774,0.1607,0.192,0.2194,0.2445,0.2683,0.2913
18:56:15.691,10.509,0.8476,0.2314,0.3668,0.4214,0.4707,0.5159,0.5579,0.5973
18:56:15.766,10.589,0.8601,0.3572,0.5148,0.575,0.6264,0.6708,0.709,0.7418
18:56:15.876,10.699,0.4543,0.3766,0.4966,0.5327,0.5576,0.5733,0.5816,0.5837
18:56:15.973,10.794,0.6949,0.4403,0.5561,0.5895,0.6125,0.6281,0.6383,0.6449
18:56:16.066,10.889,0.7251,0.4972,0.6068,0.6369,0.6575,0.6717,0.6817,0.689
18:56:16.157,10.979,0.4355,0.4849,0.5554,0.5664,0.5687,0.5654,0.5586,0.5496
18:56:16.272,11.088,0.1892,0.4257,0.4456,0.4344,0.4169,0.3961,0.3739,0.3514
18:56:16.373,11.194,0.0408,0.3488,0.3241,0.2967,0.2665,0.2362,0.2074,0.1806
18:56:16.493,11.315,-0.0897,0.2611,0.2,0.1614,0.124,0.0896,0.0588,0.0319
18:56:16.578,11.396,-0.5065,0.1075,-0.012,-0.0724,-0.1282,-0.1787,-0.2238,-0.2642
18:56:16.653,11.474,-0.2367,0.0387,-0.0794,-0.1299,-0.1716,-0.2048,-0.2303,-0.2491
18:56:16.780,11.599,-0.7629,-0.1216,-0.2844,-0.3514,-0.4081,-0.4559,-0.4966,-0.5317
18:56:16.855,11.679,-1.201,-0.3375,-0.5594,-0.6488,-0.7253,-0.7912,-0.8488,-0.8998
18:56:16.939,11.762,-0.8005,-0.4301,-0.6317,-0.7019,-0.7554,-0.7954,-0.8247,-0.8452
18:56:17.055,11.869,-0.3408,-0.4122,-0.5444,-0.5755,-0.5895,-0.5908,-0.5827,-0.5678
18:56:17.163,11.986,-0.5599,-0.4418,-0.5491,-0.57,-0.5777,-0.5769,-0.5713,-0.5634
18:56:17.256,12.079,-0.4213,-0.4377,-0.5107,-0.518,-0.5151,-0.5069,-0.4963,-0.4852
18:56:17.364,12.186,0.0053,-0.3491,-0.3559,-0.3348,-0.3069,-0.2764,-0.2455,-0.2154
18:56:17.456,12.279,0.0816,-0.2629,-0.2247,-0.1891,-0.1515,-0.1153,-0.082,-0.0521
18:56:17.536,12.355,0.1058,-0.1892,-0.1255,-0.0859,-0.0486,-0.0158,0.0119,0.0347
18:56:17.679,12.502,0.0435,-0.1427,-0.0748,-0.0406,-0.0118,0.0109,0.0277,0.0395
18:56:17.766,12.589,0.0129,-0.1116,-0.0485,-0.0219,-0.0019,0.0118,0.0203,0.0249
18:56:17.886,12.707,-0.0009,-0.0894,-0.0342,-0.0145,-0.0015,0.0061,0.0097,0.0107
18:56:17.977,12.801,-0.015,-0.0745,-0.0285,-0.0147,-0.0069,-0.0034,-0.0026,-0.0034
18:56:18.092,12.916,0.021,-0.0554,-0.0136,-0.0022,0.0043,0.0076,0.0092,0.01
18:56:18.199,13.022,0.0762,-0.0291,0.0133,0.0252,0.033,0.0385,0.0427,0.0464
18:56:18.282,13.101,0.6628,0.1093,0.2082,0.2484,0.2849,0.3194,0.3527,0.3854
18:56:18.389,13.212,0.7913,0.2457,0.3831,0.4384,0.4875,0.5317,0.572,0.6086
18:56:18.469,13.291,0.8161,0.3598,0.513,0.5706,0.6189,0.6597,0.694,0.7227
18:56:18.608,13.429,0.5438,0.3966,0.5222,0.5612,0.5889,0.6075,0.6189,0.6243
18:56:18.706,13.519,0.9229,0.5018,0.6424,0.6878,0.7225,0.7495,0.7709,0.7886
18:56:18.801,13.619,0.4911,0.4997,0.597,0.619,0.6299,0.6332,0.631,0.6249
18:56:18.886,13.707,0.3073,0.4612,0.5101,0.5099,0.5009,0.4865,0.4691,0.4502
18:56:18.972,13.789,0.1506,0.3991,0.4023,0.3841,0.3608,0.3354,0.3099,0.2854
18:56:19.081,13.899,-0.0052,0.3182,0.28,0.2479,0.2144,0.1821,0.1524,0.1256
18:56:19.156,13.979,0.0655,0.2677,0.2157,0.184,0.1548,0.1296,0.1089,0.0925
18:56:19.263,14.079,-0.0377,0.2066,0.1397,0.1064,0.0778,0.0543,0.0356,0.0209
18:56:19.378,14.202,-0.0866,0.148,0.0718,0.0389,0.0121,-0.0091,-0.0255,-0.0382
18:56:19.466,14.289,-0.2368,0.071,-0.0208,-0.0576,-0.0875,-0.1116,-0.1312,-0.1474
18:56:19.568,14.389,-0.8197,-0.1071,-0.2605,-0.3243,-0.3804,-0.4302,-0.4754,-0.5172
18:56:19.646,14.46,-1.0925,-0.3042,-0.5101,-0.5932,-0.6652,-0.7282,-0.784,-0.8336
18:56:19.766,14.587,-0.3895,-0.3213,-0.4739,-0.5219,-0.5549,-0.5758,-0.5867,-0.5894
18:56:19.867,14.69,-0.8716,-0.4313,-0.5932,-0.6443,-0.6816,-0.7089,-0.7292,-0.7446
18:56:19.958,14.779,-0.5908,-0.4632,-0.5925,-0.6256,-0.6453,-0.6558,-0.66,-0.66
18:56:20.081,14.899,-0.4012,-0.4508,-0.5351,-0.547,-0.5476,-0.5412,-0.5306,-0.5177
18:56:20.168,14.992,-0.4186,-0.4444,-0.5002,-0.5021,-0.496,-0.486,-0.4746,-0.4632
